entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parcours_professionnel_for_value;field_parcours_professionnel_for_format
node;imprimeur_lithographe;0;7912;7912;und;0;'Gérant d''une revue';plain_text
node;imprimeur_lithographe;0;7913;7913;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;7914;7914;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;7919;7919;und;0;graveur;plain_text
node;imprimeur_lithographe;0;10080;10080;und;0;Il a d'abord été horloger à Carentan;plain_text
node;imprimeur_lithographe;0;10081;10081;und;0;Il a d'abord été ouvrier imprimeur lithographe chez Simon fils;plain_text
node;imprimeur_lithographe;0;10082;10082;und;0;Il est écrivain autographe de formation.;plain_text
node;imprimeur_lithographe;0;10084;10084;und;0;Quand il demande le brevet, cela fait déjà 15 ans qu'il exerce dans cette branche de métier. Il a exercé dans plusieurs villes, Lyon, Marseille, Lille, Cambrai, Nîmes;plain_text
node;imprimeur_lithographe;0;10086;10086;und;0;Il est ouvrier lithographe de formation.;plain_text
node;imprimeur_lithographe;0;10087;10087;und;0;Il est dessinateur lithographe de formation.;plain_text
node;imprimeur_lithographe;0;10090;10090;und;0;Il est dessinateur sur pierre de formation.;plain_text
node;imprimeur_lithographe;0;10091;10091;und;0;Au départ, il est imprimeur en taille douce, puis il demande le brevet d'imprimeur lithographe. Il a travaillé comme imprimeur lithographe chez M. Gilbert.;plain_text
node;imprimeur_lithographe;0;10092;10092;und;0;Il est ouvrier lithographe.;plain_text
node;imprimeur_lithographe;0;10093;10093;und;0;Il est compositeur typographe au journal La Gazette de France.;plain_text
node;imprimeur_lithographe;0;10095;10095;und;0;Il est tout d'abord papetier.;plain_text
node;imprimeur_lithographe;0;10097;10097;und;0;Dirige l'atelier des ouvriers ;plain_text
node;imprimeur_lithographe;0;10098;10098;und;0;Il a passé quinze ans à travailler dans les affaires;plain_text
node;imprimeur_lithographe;0;10099;10099;und;0;Il était d'abord fabricant de papiers peints.;plain_text
node;imprimeur_lithographe;0;10100;10100;und;0;Il est fabricant de papiers fantaisies à St Denis.;plain_text
node;imprimeur_lithographe;0;10101;10101;und;0;Il est bachelier es Lettres puis exerce comme notaire.;plain_text
node;imprimeur_lithographe;0;10102;10102;und;0;Il est limonadier, entrepreneur d'un bal mal famé.;plain_text
node;imprimeur_lithographe;0;10104;10104;und;0;Il est tout d'abord typographe.;plain_text
node;imprimeur_lithographe;0;10107;10107;und;0;Il est commis chez le lithographe Gaugain.;plain_text
node;imprimeur_lithographe;0;10108;10108;und;0;Il est de formation écrivain lithographe.  / Il a été breveté pour Paris en 1831, puis pour Marseille en 1836. / Il est de formation écrivain lithographe.  / Il a été breveté pour Paris en 1831, puis pour Marseille en 1836.;plain_text
node;imprimeur_lithographe;0;10110;10110;und;0;Il est tout d'abord chef d'atelier chez Guerrier et il en acquièrt le fonds / A acquis le fonds;plain_text
node;imprimeur_lithographe;0;10111;10111;und;0;Il est marchand papetier.;plain_text
node;imprimeur_lithographe;0;10115;10115;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10118;10118;und;0;ouvrier typographe;plain_text
node;imprimeur_lithographe;0;10119;10119;und;0;Garde national;plain_text
node;imprimeur_lithographe;0;10120;10120;und;0;Fabricant de jouets d'enfants;plain_text
node;imprimeur_lithographe;0;10122;10122;und;0;Avant d'être imprimeur lithographe, il était qualifié d'artiste dessinateur et marchand de pierre lithographique. ;plain_text
node;imprimeur_lithographe;0;10123;10123;und;0;Elle exerce aussi la profession de graveur de musique. Elle fait le commerce d'ouvrages qui se rapportent à cet art et vend en gros des pierres lithographiques;plain_text
node;imprimeur_lithographe;0;10125;10125;und;0;peintre sur porcelaine;plain_text
node;imprimeur_lithographe;0;10129;10129;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10130;10130;und;0;Ecrivain en autographie / Chef comptable;plain_text
node;imprimeur_lithographe;0;10132;10132;und;0;Taille-doucier;plain_text
node;imprimeur_lithographe;0;10133;10133;und;0;Gérant d'une revue;plain_text
node;imprimeur_lithographe;0;10134;10134;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;10135;10135;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10140;10140;und;0;graveur;plain_text
node;imprimeur_lithographe;0;10144;10144;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10147;10147;und;0;graveur sur pierres;plain_text
node;imprimeur_lithographe;0;10148;10148;und;0;dessinateur lithographe;plain_text
node;imprimeur_lithographe;0;10150;10150;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10152;10152;und;0;Il s'était d'abord destiné à la profession d'horloger. Il a ensuite travaillé chez M. Delarüe en qualité d'imprimeur lithographe;plain_text
node;imprimeur_lithographe;0;10154;10154;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10155;10155;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10156;10156;und;0;Ouvier lithographe, gagne 8 frs par jour;plain_text
node;imprimeur_lithographe;0;10157;10157;und;0;lithographe;plain_text
node;imprimeur_lithographe;0;10158;10158;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10161;10161;und;0;commissaire de la guerre;plain_text
node;imprimeur_lithographe;0;10162;10162;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10163;10163;und;0;Etudes de rhétorique au Lycée impérial / Ouvrier lithographeEtudes de rhétorique au Lycée impérial / Ouvrier lithographeEtudes de rhétorique au Lycée impérial / Ouvrier lithographeEtudes de rhétorique au Lycée impérial / Ouvrier lithographeEtudes de rhétorique au Lycée impérial / Ouvrier lithographeEtudes de rhétorique au Lycée impérial / Ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10164;10164;und;0;brigadier au 2e régiment des chasseurs;plain_text
node;imprimeur_lithographe;0;10166;10166;und;0;Gérant de presse;plain_text
node;imprimeur_lithographe;0;10167;10167;und;0;propriétaite d'un journal;plain_text
node;imprimeur_lithographe;0;10170;10170;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10171;10171;und;0;écrvain dessniateur lithographe;plain_text
node;imprimeur_lithographe;0;10172;10172;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10173;10173;und;0;clerc d'avoué;plain_text
node;imprimeur_lithographe;0;10175;10175;und;0;Etudes à Versailles de 1824 à 1829;plain_text
node;imprimeur_lithographe;0;10177;10177;und;0;dessinateur lithographe;plain_text
node;imprimeur_lithographe;0;10178;10178;und;0;papetier et relieur;plain_text
node;imprimeur_lithographe;0;10179;10179;und;0;commis;plain_text
node;imprimeur_lithographe;0;10180;10180;und;0;apprenti;plain_text
node;imprimeur_lithographe;0;10181;10181;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10182;10182;und;0;chef de bureau;plain_text
node;imprimeur_lithographe;0;10183;10183;und;0;Imprimeur en Lettres / Imprimeur en taille-douce                             En 1851, il exerce déjà depuis 11 ans le métier d'imprimeur en lettres et en taille douceImprimeur en Lettres / Imprimeur en taille-douce                             En 1851, il exerce déjà depuis 11 ans le métier d'imprimeur en lettres et en taille douceImprimeur en Lettres / Imprimeur en taille-douce                             En 1851, il exerce déjà depuis 11 ans le métier d'imprimeur en lettres et en taille douceImprimeur en Lettres / Imprimeur en taille-douce                             En 1851, il exerce déjà depuis 11 ans le métier d'imprimeur en lettres et en taille douceImprimeur en Lettres / Imprimeur en taille-douce                             En 1851, il exerce déjà depuis 11 ans le métier d'imprimeur en lettres et en taille douce;plain_text
node;imprimeur_lithographe;0;10184;10184;und;0;courtier en vins;plain_text
