entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_naissance_value
node;imprimeur_lithographe;0;23154;23154;und;0;1826-03-10 00:00:00
node;imprimeur_lithographe;0;23155;23155;und;0;1833-09-14 00:00:00
node;imprimeur_lithographe;0;23156;23156;und;0;1830-01-03 00:00:00
node;imprimeur_lithographe;0;23157;23157;und;0;1823-10-03 00:00:00
node;imprimeur_lithographe;0;23158;23158;und;0;1796-04-24 00:00:00
node;imprimeur_lithographe;0;23159;23159;und;0;1837-10-21 00:00:00
node;imprimeur_lithographe;0;23160;23160;und;0;1830-10-13 00:00:00
node;imprimeur_lithographe;0;23161;23161;und;0;1825-03-29 00:00:00
node;imprimeur_lithographe;0;23162;23162;und;0;1820-03-09 00:00:00
node;imprimeur_lithographe;0;23163;23163;und;0;1824-02-21 00:00:00
node;imprimeur_lithographe;0;23164;23164;und;0;1811-02-07 00:00:00
node;imprimeur_lithographe;0;23165;23165;und;0;1813-12-12 00:00:00
node;imprimeur_lithographe;0;23166;23166;und;0;1773-07-04 00:00:00
node;imprimeur_lithographe;0;23167;23167;und;0;1813-01-14 00:00:00
node;imprimeur_lithographe;0;23168;23168;und;0;1827-09-28 00:00:00
node;imprimeur_lithographe;0;23170;23170;und;0;1825-06-19 00:00:00
node;imprimeur_lithographe;0;23171;23171;und;0;1809-09-30 00:00:00
node;imprimeur_lithographe;0;23172;23172;und;0;1841-12-26 00:00:00
node;imprimeur_lithographe;0;23173;23173;und;0;1826-09-23 00:00:00
node;imprimeur_lithographe;0;23174;23174;und;0;1826-07-31 00:00:00
node;imprimeur_lithographe;0;23176;23176;und;0;1793-05-11 00:00:00
node;imprimeur_lithographe;0;23177;23177;und;0;1834-12-01 00:00:00
node;imprimeur_lithographe;0;23178;23178;und;0;1804-11-05 00:00:00
node;imprimeur_lithographe;0;23179;23179;und;0;1805-10-04 00:00:00
node;imprimeur_lithographe;0;23180;23180;und;0;1813-08-11 00:00:00
node;imprimeur_lithographe;0;23181;23181;und;0;1827-08-04 00:00:00
node;imprimeur_lithographe;0;23182;23182;und;0;1862-06-30 00:00:00
node;imprimeur_lithographe;0;23184;23184;und;0;1823-07-13 00:00:00
node;imprimeur_lithographe;0;23185;23185;und;0;1830-02-04 00:00:00
node;imprimeur_lithographe;0;23186;23186;und;0;1818-04-05 00:00:00
node;imprimeur_lithographe;0;23187;23187;und;0;1821-05-23 00:00:00
node;imprimeur_lithographe;0;23188;23188;und;0;1796-11-12 00:00:00
node;imprimeur_lithographe;0;23189;23189;und;0;1819-09-15 00:00:00
node;imprimeur_lithographe;0;23190;23190;und;0;1807-01-11 00:00:00
node;imprimeur_lithographe;0;23191;23191;und;0;1804-07-31 00:00:00
node;imprimeur_lithographe;0;23192;23192;und;0;1826-03-20 00:00:00
node;imprimeur_lithographe;0;23193;23193;und;0;1788-03-07 00:00:00
node;imprimeur_lithographe;0;23194;23194;und;0;1838-04-28 00:00:00
node;imprimeur_lithographe;0;23195;23195;und;0;1821-09-04 00:00:00
node;imprimeur_lithographe;0;23196;23196;und;0;1833-05-20 00:00:00
node;imprimeur_lithographe;0;23197;23197;und;0;1796-04-20 00:00:00
node;imprimeur_lithographe;0;23198;23198;und;0;1814-04-25 00:00:00
node;imprimeur_lithographe;0;23199;23199;und;0;1827-04-29 00:00:00
node;imprimeur_lithographe;0;23200;23200;und;0;1804-08-16 00:00:00
node;imprimeur_lithographe;0;23201;23201;und;0;1827-05-18 00:00:00
node;imprimeur_lithographe;0;23202;23202;und;0;1824-10-18 00:00:00
node;imprimeur_lithographe;0;23203;23203;und;0;1821-07-06 00:00:00
node;imprimeur_lithographe;0;23204;23204;und;0;1796-10-06 00:00:00
node;imprimeur_lithographe;0;23205;23205;und;0;1816-04-29 00:00:00
node;imprimeur_lithographe;0;23206;23206;und;0;1834-09-26 00:00:00
node;imprimeur_lithographe;0;23207;23207;und;0;1829-07-29 00:00:00
node;imprimeur_lithographe;0;23208;23208;und;0;1820-01-11 00:00:00
node;imprimeur_lithographe;0;23212;23212;und;0;1795-02-27 00:00:00
node;imprimeur_lithographe;0;23213;23213;und;0;1798-05-21 00:00:00
node;imprimeur_lithographe;0;23214;23214;und;0;1805-01-24 00:00:00
node;imprimeur_lithographe;0;23215;23215;und;0;1831-08-08 00:00:00
node;imprimeur_lithographe;0;23216;23216;und;0;1836-02-03 00:00:00
node;imprimeur_lithographe;0;23217;23217;und;0;1813-04-07 00:00:00
node;imprimeur_lithographe;0;23218;23218;und;0;1824-04-08 00:00:00
node;imprimeur_lithographe;0;23219;23219;und;0;1789-10-18 00:00:00
node;imprimeur_lithographe;0;23220;23220;und;0;1833-09-10 00:00:00
node;imprimeur_lithographe;0;23221;23221;und;0;1825-07-13 00:00:00
node;imprimeur_lithographe;0;23222;23222;und;0;1818-08-06 00:00:00
node;imprimeur_lithographe;0;23224;23224;und;0;1804-11-05 00:00:00
node;imprimeur_lithographe;0;23225;23225;und;0;1814-02-10 00:00:00
node;imprimeur_lithographe;0;23226;23226;und;0;1795-12-04 00:00:00
node;imprimeur_lithographe;0;23227;23227;und;0;1794-08-06 00:00:00
node;imprimeur_lithographe;0;23228;23228;und;0;1794-08-06 00:00:00
node;imprimeur_lithographe;0;23229;23229;und;0;1794-08-06 00:00:00
node;imprimeur_lithographe;0;23230;23230;und;0;1794-08-06 00:00:00
node;imprimeur_lithographe;0;23231;23231;und;0;1816-03-28 00:00:00
node;imprimeur_lithographe;0;23232;23232;und;0;1830-11-25 00:00:00
node;imprimeur_lithographe;0;23233;23233;und;0;1831-12-22 00:00:00
node;imprimeur_lithographe;0;23234;23234;und;0;1825-07-26 00:00:00
node;imprimeur_lithographe;0;23235;23235;und;0;1816-03-28 00:00:00
node;imprimeur_lithographe;0;23236;23236;und;0;1807-12-26 00:00:00
node;imprimeur_lithographe;0;23237;23237;und;0;1812-03-15 00:00:00
node;imprimeur_lithographe;0;23238;23238;und;0;1783-11-03 00:00:00
node;imprimeur_lithographe;0;23239;23239;und;0;1806-11-18 00:00:00
node;imprimeur_lithographe;0;23240;23240;und;0;1780-03-13 00:00:00
node;imprimeur_lithographe;0;23241;23241;und;0;1825-05-16 00:00:00
node;imprimeur_lithographe;0;23242;23242;und;0;1807-07-17 00:00:00
node;imprimeur_lithographe;0;23243;23243;und;0;1806-11-23 00:00:00
node;imprimeur_lithographe;0;23244;23244;und;0;1830-03-06 00:00:00
node;imprimeur_lithographe;0;23245;23245;und;0;1806-04-13 00:00:00
node;imprimeur_lithographe;0;23246;23246;und;0;1808-02-18 00:00:00
node;imprimeur_lithographe;0;23247;23247;und;0;1799-08-05 00:00:00
node;imprimeur_lithographe;0;23248;23248;und;0;1810-10-03 00:00:00
node;imprimeur_lithographe;0;23249;23249;und;0;1795-07-15 00:00:00
node;imprimeur_lithographe;0;23250;23250;und;0;1804-08-31 00:00:00
node;imprimeur_lithographe;0;23251;23251;und;0;1811-05-22 00:00:00
node;imprimeur_lithographe;0;23252;23252;und;0;1826-08-27 00:00:00
node;imprimeur_lithographe;0;23253;23253;und;0;1816-12-14 00:00:00
node;imprimeur_lithographe;0;23254;23254;und;0;1804-10-28 00:00:00
node;imprimeur_lithographe;0;23255;23255;und;0;1813-12-22 00:00:00
node;imprimeur_lithographe;0;23257;23257;und;0;1798-02-27 00:00:00
node;imprimeur_lithographe;0;23258;23258;und;0;1827-05-18 00:00:00
