person_id	person_related_id	patent_id	type
1809	3255	1870	SUCCESSOR
1820	3991	1881	SUCCESSOR
1829	3392	1890	SUCCESSOR
1844	4181	1906	SUCCESSOR
1845	3350	1907	SUCCESSOR
1857	1043	1919	SUCCESSOR
1860	880	1922	SUCCESSOR
1875	4428	1937	SUCCESSOR
1879	1617	1941	SUCCESSOR
1913	2050	1977	SUCCESSOR
1928	1930	1992	SUCCESSOR
1929	167	1993	SUCCESSOR
1936	3038	2000	SUCCESSOR
1937	1936	2001	SUCCESSOR
1954	4640	2019	SUCCESSOR
1965	869	2030	SUCCESSOR
1971	746	2037	SUCCESSOR
1988	3145	2054	SUCCESSOR
1997	992	2063	SUCCESSOR
1999	4675	2065	SUCCESSOR
2008	2481	2074	SUCCESSOR
2012	2453	2079	SUCCESSOR
2016	2129	2083	SUCCESSOR
2019	4651	2086	SUCCESSOR
2020	1138	2087	SUCCESSOR
2024	1075	2091	SUCCESSOR
2026	3280	2093	SUCCESSOR
2033	1083	2100	SUCCESSOR
2041	1709	2108	SUCCESSOR
2050	1929	2117	SUCCESSOR
2052	3163	2119	SUCCESSOR
2057	2187	2124	SUCCESSOR
2071	242	2139	SUCCESSOR
2094	4245	2165	SUCCESSOR
2112	1738	2185	SUCCESSOR
2133	3985	2207	SUCCESSOR
2134	2490	2208	SUCCESSOR
2138	2442	2213	SUCCESSOR
2139	2138	2214	SUCCESSOR
2154	2626	2229	SUCCESSOR
2171	3831	2246	SUCCESSOR
2176	2478	2251	SUCCESSOR
2188	4196	2263	SUCCESSOR
2190	3015	2265	SUCCESSOR
2192	2984	2267	SUCCESSOR
2194	381	2269	SUCCESSOR
2196	2195	2271	SUCCESSOR
2212	2571	2287	SUCCESSOR
2214	3947	2289	SUCCESSOR
2218	3239	2293	SUCCESSOR
2224	4521	2299	SUCCESSOR
2225	1819	2300	SUCCESSOR
2228	3965	2303	SUCCESSOR
2237	2788	2312	SUCCESSOR
2236	2579	2311	SUCCESSOR
2245	1142	2320	SUCCESSOR
2249	3270	2324	SUCCESSOR
2250	3096	2325	SUCCESSOR
2256	614	2331	SUCCESSOR
2257	2617	2332	SUCCESSOR
2264	4671	2339	SUCCESSOR
2272	2275	2348	SUCCESSOR
2292	5017	2368	SUCCESSOR
2295	474	2371	SUCCESSOR
2299	1603	2375	SUCCESSOR
2301	4856	2377	SUCCESSOR
2302	3093	2378	SUCCESSOR
2307	1449	2383	SUCCESSOR
2316	1120	2394	SUCCESSOR
2323	3969	2401	SUCCESSOR
2329	998	2407	SUCCESSOR
2333	332	2411	SUCCESSOR
2341	3784	2419	SUCCESSOR
2356	2357	2434	SUCCESSOR
2359	1651	2437	SUCCESSOR
2363	3811	2441	SUCCESSOR
2366	3652	2444	SUCCESSOR
2371	1714	2449	SUCCESSOR
2404	170	2482	SUCCESSOR
2409	832	2488	SUCCESSOR
2427	102	2506	SUCCESSOR
2429	3692	2508	SUCCESSOR
2430	3832	2509	SUCCESSOR
2453	2991	2532	SUCCESSOR
2454	4959	2533	SUCCESSOR
2455	3455	2534	SUCCESSOR
2459	612	2538	SUCCESSOR
2464	2465	2543	SUCCESSOR
2472	5066	2551	SUCCESSOR
2474	3296	2553	SUCCESSOR
2484	3444	2563	SUCCESSOR
2490	4749	2569	SUCCESSOR
2494	533	2573	SUCCESSOR
2497	2016	2577	SUCCESSOR
2496	4987	2575	SUCCESSOR
2501	3612	2581	SUCCESSOR
2504	4725	2584	SUCCESSOR
2518	2517	2599	SUCCESSOR
2526	2525	2607	SUCCESSOR
2527	849	2608	SUCCESSOR
2531	3979	2612	SUCCESSOR
2537	4284	2618	SUCCESSOR
2547	657	2631	SUCCESSOR
2550	4315	2634	SUCCESSOR
2563	3793	2647	SUCCESSOR
2575	3505	2659	SUCCESSOR
2580	4024	2664	SUCCESSOR
2593	263	2677	SUCCESSOR
2594	1377	2678	SUCCESSOR
2598	2704	2682	SUCCESSOR
2607	1066	2694	SUCCESSOR
2608	3391	2695	SUCCESSOR
2617	5023	2704	SUCCESSOR
2626	842	2714	SUCCESSOR
2629	3187	2719	SUCCESSOR
2653	3939	2744	SUCCESSOR
2655	4483	2746	SUCCESSOR
2659	412	2750	SUCCESSOR
2662	4041	2753	SUCCESSOR
2673	2033	2764	SUCCESSOR
2674	3159	2765	SUCCESSOR
2675	1717	2766	SUCCESSOR
2676	2653	2767	SUCCESSOR
2706	4026	2799	SUCCESSOR
2710	353	2803	SUCCESSOR
2712	4008	2805	SUCCESSOR
2716	1857	2809	SUCCESSOR
2720	999	2813	SUCCESSOR
2725	1706	2818	SUCCESSOR
2731	3051	2824	SUCCESSOR
2745	1076	2839	SUCCESSOR
2757	4929	2851	SUCCESSOR
2774	4227	2869	SUCCESSOR
2780	1451	2875	SUCCESSOR
2790	4724	2886	SUCCESSOR
2802	20	2898	SUCCESSOR
2813	1879	2910	SUCCESSOR
2814	4813	2911	SUCCESSOR
2821	3390	2918	SUCCESSOR
2831	999	2928	SUCCESSOR
2834	3272	2931	SUCCESSOR
2837	3771	2934	SUCCESSOR
709	707	731	SUCCESSOR
2884	1530	2984	SUCCESSOR
2887	839	2987	SUCCESSOR
2897	4570	2997	SUCCESSOR
2912	2913	3015	SUCCESSOR
2932	4413	3036	SUCCESSOR
2935	3541	3039	SUCCESSOR
2940	1445	3044	SUCCESSOR
2961	4095	3067	SUCCESSOR
2964	2425	3070	SUCCESSOR
2965	4376	3072	SUCCESSOR
2973	2831	3081	SUCCESSOR
2978	688	3086	SUCCESSOR
2984	3045	3092	SUCCESSOR
2986	1454	3094	SUCCESSOR
2990	2249	3098	SUCCESSOR
2994	3446	3102	SUCCESSOR
3031	2071	3140	SUCCESSOR
3050	1844	3159	SUCCESSOR
3058	3369	3167	SUCCESSOR
3068	2176	3179	SUCCESSOR
3069	3149	3180	SUCCESSOR
3072	597	3184	SUCCESSOR
3074	5109	3186	SUCCESSOR
3087	1913	3199	SUCCESSOR
3092	606	3204	SUCCESSOR
3097	2198	3209	SUCCESSOR
3103	4540	3216	SUCCESSOR
3107	1429	3220	SUCCESSOR
1429	3105	1477	SUCCESSOR
3120	3102	3234	SUCCESSOR
3124	1583	3238	SUCCESSOR
3135	4536	3250	SUCCESSOR
3146	1871	3261	SUCCESSOR
3149	4090	3264	SUCCESSOR
3152	946	3267	SUCCESSOR
3158	1629	3273	SUCCESSOR
3163	1496	3279	SUCCESSOR
3161	2661	3277	SUCCESSOR
3175	3643	3291	SUCCESSOR
3189	1988	3305	SUCCESSOR
3197	2511	3313	SUCCESSOR
3198	3041	3314	SUCCESSOR
3205	1402	3322	SUCCESSOR
3215	1256	3332	SUCCESSOR
3216	3069	3333	SUCCESSOR
3226	4790	3344	SUCCESSOR
3235	1690	3353	SUCCESSOR
3236	4384	3354	SUCCESSOR
3240	2694	3360	SUCCESSOR
3241	1683	3361	SUCCESSOR
3242	2750	3362	SUCCESSOR
3253	3534	3373	SUCCESSOR
3255	3405	3375	SUCCESSOR
3272	2248	3392	SUCCESSOR
3278	626	3398	SUCCESSOR
3292	4034	3412	SUCCESSOR
3311	838	3433	SUCCESSOR
3323	2629	3445	SUCCESSOR
3324	2188	3446	SUCCESSOR
3325	1323	3447	SUCCESSOR
3327	1124	3449	SUCCESSOR
3338	645	3462	SUCCESSOR
3353	3354	3478	SUCCESSOR
3366	1192	3491	SUCCESSOR
3369	2160	3494	SUCCESSOR
3370	795	3495	SUCCESSOR
3379	1141	3504	SUCCESSOR
3385	2112	3510	SUCCESSOR
3387	3881	3512	SUCCESSOR
3390	3957	3515	SUCCESSOR
3391	2169	3517	SUCCESSOR
3393	659	3519	SUCCESSOR
3399	2994	3525	SUCCESSOR
3401	4871	3527	SUCCESSOR
3410	2834	3536	SUCCESSOR
3414	131	3540	SUCCESSOR
3416	1428	3542	SUCCESSOR
3418	4551	3544	SUCCESSOR
3426	579	3552	SUCCESSOR
3429	1681	3555	SUCCESSOR
3434	829	3560	SUCCESSOR
3435	4309	3561	SUCCESSOR
3444	143	3570	SUCCESSOR
3446	2585	3572	SUCCESSOR
3459	1971	3585	SUCCESSOR
3466	4088	3593	SUCCESSOR
3470	3471	3597	SUCCESSOR
3471	1022	3598	SUCCESSOR
3474	1280	3602	SUCCESSOR
3505	4297	3633	SUCCESSOR
3509	4964	3637	SUCCESSOR
3527	106	3655	SUCCESSOR
3534	3699	3662	SUCCESSOR
3537	3968	3666	SUCCESSOR
3571	4375	3700	SUCCESSOR
3581	2607	3710	SUCCESSOR
3599	1115	3728	SUCCESSOR
3603	1351	3732	SUCCESSOR
3610	707	3740	SUCCESSOR
3612	1933	3742	SUCCESSOR
3617	4208	3747	SUCCESSOR
3622	1954	3753	SUCCESSOR
3633	1456	3764	SUCCESSOR
3642	4361	3774	SUCCESSOR
3644	5042	3776	SUCCESSOR
3650	2605	3782	SUCCESSOR
3664	20	3796	SUCCESSOR
3652	4310	3784	SUCCESSOR
3698	65	3832	SUCCESSOR
3710	2214	3844	SUCCESSOR
3711	4962	3845	SUCCESSOR
3712	4608	3846	SUCCESSOR
3717	2026	3851	SUCCESSOR
3771	11	3907	SUCCESSOR
3784	1483	3921	SUCCESSOR
3788	3912	3925	SUCCESSOR
3790	1472	3927	SUCCESSOR
3816	771	3953	SUCCESSOR
3830	2056	3967	SUCCESSOR
3832	2349	3969	SUCCESSOR
2349	2548	2427	SUCCESSOR
3833	4942	3970	SUCCESSOR
3837	4231	3976	SUCCESSOR
3844	2190	3983	SUCCESSOR
3887	4007	4029	SUCCESSOR
3895	1095	4038	SUCCESSOR
3904	4249	4047	SUCCESSOR
3910	3070	4053	SUCCESSOR
3912	3911	4055	SUCCESSOR
3921	3393	4064	SUCCESSOR
3923	4858	4066	SUCCESSOR
3929	2537	4072	SUCCESSOR
3930	137	4073	SUCCESSOR
3939	3701	4083	SUCCESSOR
3942	3901	4086	SUCCESSOR
3952	1696	4096	SUCCESSOR
3961	2171	4105	SUCCESSOR
3965	2497	4109	SUCCESSOR
3970	2527	4114	SUCCESSOR
3971	2401	4115	SUCCESSOR
4195	2356	4347	SUCCESSOR
3979	4628	4124	SUCCESSOR
3985	2250	4131	SUCCESSOR
3986	766	4132	SUCCESSOR
3991	324	4137	SUCCESSOR
4024	4133	4171	SUCCESSOR
4026	1890	4175	SUCCESSOR
4041	1439	4190	SUCCESSOR
4057	3124	4207	SUCCESSOR
4058	4057	4208	SUCCESSOR
4062	2576	4212	SUCCESSOR
4065	1345	4215	SUCCESSOR
4068	2770	4218	SUCCESSOR
4069	461	4219	SUCCESSOR
4070	4246	4220	SUCCESSOR
4071	3722	4221	SUCCESSOR
4072	2304	4222	SUCCESSOR
4083	4425	4233	SUCCESSOR
4131	4295	4282	SUCCESSOR
4135	4951	4286	SUCCESSOR
4156	2196	4307	SUCCESSOR
4162	2745	4314	SUCCESSOR
4172	1480	4324	SUCCESSOR
4180	4180	4332	SUCCESSOR
4181	4472	4333	SUCCESSOR
4186	1287	4338	SUCCESSOR
4197	473	4349	SUCCESSOR
4217	5007	4369	SUCCESSOR
4225	2751	4378	SUCCESSOR
4227	1633	4380	SUCCESSOR
4228	3260	4381	SUCCESSOR
4231	3603	4384	SUCCESSOR
4237	1165	4390	SUCCESSOR
4242	4758	4395	SUCCESSOR
4246	2027	4399	SUCCESSOR
4249	3770	4402	SUCCESSOR
4263	3671	4416	SUCCESSOR
4273	663	4426	SUCCESSOR
4274	4275	4427	SUCCESSOR
4283	3222	4436	SUCCESSOR
4285	526	4438	SUCCESSOR
4291	1102	4444	SUCCESSOR
4296	4295	4450	SUCCESSOR
4297	554	4451	SUCCESSOR
4305	1459	4459	SUCCESSOR
4309	1972	4463	SUCCESSOR
4310	4870	4464	SUCCESSOR
4315	3606	4470	SUCCESSOR
4314	3334	4469	SUCCESSOR
4331	4296	4488	SUCCESSOR
4333	1411	4490	SUCCESSOR
4345	2226	4503	SUCCESSOR
4346	4345	4504	SUCCESSOR
4347	4346	4505	SUCCESSOR
4361	4677	4521	SUCCESSOR
4373	2085	4535	SUCCESSOR
4399	1453	4561	SUCCESSOR
4403	466	4565	SUCCESSOR
4416	3130	4578	SUCCESSOR
4424	1385	4587	SUCCESSOR
4428	12	4591	SUCCESSOR
4429	1240	4592	SUCCESSOR
4430	18	4593	SUCCESSOR
4445	2257	4609	SUCCESSOR
4446	2177	4610	SUCCESSOR
4462	3320	4627	SUCCESSOR
4466	4154	4631	SUCCESSOR
4472	2504	4637	SUCCESSOR
4474	440	4639	SUCCESSOR
4475	1243	4640	SUCCESSOR
4480	1172	4645	SUCCESSOR
4483	1006	4649	SUCCESSOR
4518	2655	4684	SUCCESSOR
4521	2674	4687	SUCCESSOR
4530	3191	4696	SUCCESSOR
4536	2350	4702	SUCCESSOR
4549	2053	4715	SUCCESSOR
4576	807	4743	SUCCESSOR
4585	1347	4752	SUCCESSOR
4589	4537	4756	SUCCESSOR
4609	4131	4777	SUCCESSOR
4618	1387	4786	SUCCESSOR
4628	1214	4797	SUCCESSOR
4636	4637	4805	SUCCESSOR
4657	704	4827	SUCCESSOR
4662	4674	4832	SUCCESSOR
4663	2974	4833	SUCCESSOR
4667	2918	4838	SUCCESSOR
4675	2821	4846	SUCCESSOR
4677	5150	4848	SUCCESSOR
4685	2217	4856	SUCCESSOR
4688	272	4859	SUCCESSOR
4698	3664	4870	SUCCESSOR
4704	2345	4876	SUCCESSOR
4717	3167	4889	SUCCESSOR
4724	1955	4896	SUCCESSOR
4725	871	4897	SUCCESSOR
4734	1458	4907	SUCCESSOR
4268	3474	4421	SUCCESSOR
4758	2371	4931	SUCCESSOR
4764	4618	4937	SUCCESSOR
4769	5035	4942	SUCCESSOR
4776	3609	4949	SUCCESSOR
4777	700	4950	SUCCESSOR
4790	2656	4963	SUCCESSOR
4803	1253	4978	SUCCESSOR
4812	706	4987	SUCCESSOR
4821	969	4996	SUCCESSOR
4836	2295	5011	SUCCESSOR
4841	4783	5016	SUCCESSOR
4846	25	5021	SUCCESSOR
4875	1244	5053	SUCCESSOR
4907	513	5085	SUCCESSOR
