ID	label	reference_url	filename	iiif_url	image_type	filesys_path
6698	A l'horizon, l'Ange des CERTITUDES, et, dans le ciel sombre, un regard interrogateur / Odilon Redon, 1882	http://gallica.bnf.fr/ark:/12148/btv1b6950994d/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b6950994d/f1/full/1000,/0/native.jpg	iconographie	
6699	A la mémoire d'une famille de martyrs royalistes, immolés sur l'échafaud, à Paris, le 9 et 11 Juillet 1794 : [estampe]	http://gallica.bnf.fr/ark:/12148/btv1b69505303/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b69505303/f1/full/1000,/0/native.jpg	iconographie	
6700	A la mémoire d'une famille de martyrs royalistes, immolés sur l'échafaud, à Paris, le 9 et 11 Juillet 1794 : [estampe]	http://gallica.bnf.fr/ark:/12148/btv1b69505303		https://gallica.bnf.fr/iiif/ark:/12148/btv1b69505303/f1/full/1000,/0/native.jpg	iconographie	
6701	Portrait d'Henri Hébert, dit le baron de Richemont	http://gallica.bnf.fr/ark:/12148/btv1b6950206d		https://gallica.bnf.fr/iiif/ark:/12148/btv1b6950206d/f1/full/1000,/0/native.jpg	iconographie	
6702	Plan and section of the copper mining and smelting works at Temperino in Tuscany / View and section of the copper usines at Rocca-Tederighi in Tuscany	http://gallica.bnf.fr/ark:/12148/btv1b8445466v/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b8445466v/f1/full/1000,/0/native.jpg	iconographie	
6703	Plan topographique de la ville de Marseille 1830 / Dessiné par P. Matheron, J. J. B. du B. dirext Lutetiae, 1833	http://gallica.bnf.fr/ark:/12148/btv1b8445749c		https://gallica.bnf.fr/iiif/ark:/12148/btv1b8445749c/f1/full/1000,/0/native.jpg	iconographie	
6704	Nouveau plan de la Rochelle et de ses environs, contenant le nouveau bassin à flot, la gare du chemin de fer, etc.	http://gallica.bnf.fr/ark:/12148/btv1b84459032		https://gallica.bnf.fr/iiif/ark:/12148/btv1b84459032/f1/full/1000,/0/native.jpg	iconographie	
6705	Jeune Paysanne de la vallée d'Ossau	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10573510j		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573510j/f1/full/1000,/0/native.jpg	iconographie	
6706	Pyrénées centrales - Panorama pris du som de Nère (2401 m) près de Luz	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105734641		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105734641/f1/full/1000,/0/native.jpg	iconographie	
6707	Pyrénées centrales - Panorama général circulaire pris du sommet du pic de Sauvegarde (près du Port de Vénasque)	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10573563z		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573563z/f1/full/1000,/0/native.jpg	iconographie	
6708	Pyrénées centrales - Panorama général circulaire pris du plateau de Pène-Nère (N. du col de Riou près de Cauterets)	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10573562h		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573562h/f1/full/1000,/0/native.jpg	iconographie	
6709	Pyrénées centrales - Panorama général circulaire pris du sommet du pic Ardiden (près de Cauterets	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105735612		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105735612/f1/full/1000,/0/native.jpg	iconographie	
6710	[Piéces séparées de scènes toulousaines]	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10573555f		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573555f/f1/full/1000,/0/native.jpg	iconographie	
