entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_autres_brevets_nid
node;imprimeur_lithographe;0;23956;23956;und;0;22449
node;imprimeur_lithographe;0;24010;24010;und;0;22049
node;imprimeur_lithographe;0;24038;24038;und;0;24039
node;imprimeur_lithographe;0;24039;24039;und;0;24038
node;imprimeur_lithographe;0;24085;24085;und;0;24556
node;imprimeur_lithographe;0;24089;24089;und;0;23070
node;imprimeur_lithographe;0;24090;24090;und;0;22210
node;imprimeur_lithographe;0;24116;24116;und;0;23629
node;imprimeur_lithographe;0;24121;24121;und;0;25712
node;imprimeur_lithographe;0;24148;24148;und;0;26995
node;imprimeur_lithographe;0;24188;24188;und;0;23324
node;imprimeur_lithographe;0;24203;24203;und;0;23513
node;imprimeur_lithographe;0;24217;24217;und;0;24216
node;imprimeur_lithographe;0;24264;24264;und;0;25511
node;imprimeur_lithographe;0;24283;24283;und;0;26991
node;imprimeur_lithographe;0;24286;24286;und;0;26992
node;imprimeur_lithographe;0;24288;24288;und;0;25733
node;imprimeur_lithographe;0;24299;24299;und;0;24300
node;imprimeur_lithographe;0;24300;24300;und;0;24299
node;imprimeur_lithographe;0;24309;24309;und;0;21962
node;imprimeur_lithographe;0;24316;24316;und;0;23196
node;imprimeur_lithographe;0;24348;24348;und;0;23524
node;imprimeur_lithographe;0;24349;24349;und;0;24343
node;imprimeur_lithographe;0;24354;24354;und;0;23878
node;imprimeur_lithographe;0;24374;24374;und;0;23949
node;imprimeur_lithographe;0;24377;24377;und;0;24376
node;imprimeur_lithographe;0;24378;24378;und;0;24379
node;imprimeur_lithographe;0;24379;24379;und;0;24378
node;imprimeur_lithographe;0;24402;24402;und;0;23790
node;imprimeur_lithographe;0;24499;24499;und;0;25241
node;imprimeur_lithographe;0;24517;24517;und;0;23558
node;imprimeur_lithographe;0;24534;24534;und;0;24535
node;imprimeur_lithographe;0;24535;24535;und;0;24534
node;imprimeur_lithographe;0;24548;24548;und;0;23066
node;imprimeur_lithographe;0;24556;24556;und;0;24085
node;imprimeur_lithographe;0;24557;24557;und;0;23140
node;imprimeur_lithographe;0;24569;24569;und;0;24603
node;imprimeur_lithographe;0;24596;24596;und;0;22697
node;imprimeur_lithographe;0;24598;24598;und;0;24039
node;imprimeur_lithographe;0;24603;24603;und;0;24569
node;imprimeur_lithographe;0;24641;24641;und;0;22082
node;imprimeur_lithographe;0;24683;24683;und;0;24684
node;imprimeur_lithographe;0;24684;24684;und;0;24683
node;imprimeur_lithographe;0;24716;24716;und;0;23018
node;imprimeur_lithographe;0;24717;24717;und;0;22178
node;imprimeur_lithographe;0;24791;24791;und;0;24806
node;imprimeur_lithographe;0;24796;24796;und;0;25205
node;imprimeur_lithographe;0;24801;24801;und;0;21583
node;imprimeur_lithographe;0;24806;24806;und;0;24791
node;imprimeur_lithographe;0;24807;24807;und;0;22407
node;imprimeur_lithographe;0;24818;24818;und;0;24821
node;imprimeur_lithographe;0;24821;24821;und;0;24818
node;imprimeur_lithographe;0;24829;24829;und;0;24830
node;imprimeur_lithographe;0;24830;24830;und;0;24829
node;imprimeur_lithographe;0;24861;24861;und;0;23342
node;imprimeur_lithographe;0;24869;24869;und;0;22168
node;imprimeur_lithographe;0;24880;24880;und;0;24881
node;imprimeur_lithographe;0;24881;24881;und;0;24880
node;imprimeur_lithographe;0;24884;24884;und;0;22666
node;imprimeur_lithographe;0;24997;24997;und;0;24998
node;imprimeur_lithographe;0;24998;24998;und;0;24997
node;imprimeur_lithographe;0;25007;25007;und;0;25008
node;imprimeur_lithographe;0;25008;25008;und;0;25007
node;imprimeur_lithographe;0;25048;25048;und;0;22639
node;imprimeur_lithographe;0;25076;25076;und;0;27171
node;imprimeur_lithographe;0;25089;25089;und;0;26453
node;imprimeur_lithographe;0;25093;25093;und;0;23550
node;imprimeur_lithographe;0;25102;25102;und;0;27182
node;imprimeur_lithographe;0;25108;25108;und;0;25127
node;imprimeur_lithographe;0;25127;25127;und;0;25108
node;imprimeur_lithographe;0;25138;25138;und;0;25139
node;imprimeur_lithographe;0;25143;25143;und;0;25144
node;imprimeur_lithographe;0;25144;25144;und;0;25143
node;imprimeur_lithographe;0;25176;25176;und;0;25177
node;imprimeur_lithographe;0;25177;25177;und;0;25176
