entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_fin_du_brevet_value
node;imprimeur_lithographe;0;10471;10471;und;0;1713-05-09 20:50:00
node;imprimeur_lithographe;0;10473;10473;und;0;1858-04-06 00:00:00
node;imprimeur_lithographe;0;10474;10474;und;0;1844-09-08 00:00:00
node;imprimeur_lithographe;0;10475;10475;und;0;1860-11-01 00:00:00
node;imprimeur_lithographe;0;10476;10476;und;0;1850-12-11 00:00:00
node;imprimeur_lithographe;0;10477;10477;und;0;1866-11-02 00:00:00
node;imprimeur_lithographe;0;10481;10481;und;0;1874-04-11 00:00:00
node;imprimeur_lithographe;0;10486;10486;und;0;1853-10-10 00:00:00
node;imprimeur_lithographe;0;10494;10494;und;0;1713-05-09 20:49:00
node;imprimeur_lithographe;0;10506;10506;und;0;1864-11-03 00:00:00
node;imprimeur_lithographe;0;10514;10514;und;0;1823-12-11 00:00:00
node;imprimeur_lithographe;0;10515;10515;und;0;1878-06-03 00:00:00
node;imprimeur_lithographe;0;10520;10520;und;0;1878-09-02 00:00:00
node;imprimeur_lithographe;0;10532;10532;und;0;1870-08-07 00:00:00
node;imprimeur_lithographe;0;10533;10533;und;0;1857-10-08 00:00:00
node;imprimeur_lithographe;0;10536;10536;und;0;1857-05-09 00:00:00
node;imprimeur_lithographe;0;10537;10537;und;0;1851-01-07 00:00:00
node;imprimeur_lithographe;0;10542;10542;und;0;1850-10-07 00:00:00
node;imprimeur_lithographe;0;10544;10544;und;0;1848-04-07 00:00:00
node;imprimeur_lithographe;0;10546;10546;und;0;1872-11-12 00:00:00
node;imprimeur_lithographe;0;10557;10557;und;0;1847-09-07 00:00:00
node;imprimeur_lithographe;0;10558;10558;und;0;1874-12-06 00:00:00
node;imprimeur_lithographe;0;10564;10564;und;0;1879-03-04 00:00:00
node;imprimeur_lithographe;0;10574;10574;und;0;1839-11-05 00:00:00
node;imprimeur_lithographe;0;10586;10586;und;0;1859-06-01 00:00:00
node;imprimeur_lithographe;0;10593;10593;und;0;1859-04-05 00:00:00
node;imprimeur_lithographe;0;10595;10595;und;0;1857-04-11 00:00:00
node;imprimeur_lithographe;0;10602;10602;und;0;1862-04-11 00:00:00
node;imprimeur_lithographe;0;10604;10604;und;0;1855-02-06 00:00:00
node;imprimeur_lithographe;0;10605;10605;und;0;1870-01-06 00:00:00
node;imprimeur_lithographe;0;10617;10617;und;0;1856-10-12 00:00:00
node;imprimeur_lithographe;0;10621;10621;und;0;1868-04-07 00:00:00
node;imprimeur_lithographe;0;10622;10622;und;0;1830-05-04 00:00:00
node;imprimeur_lithographe;0;10626;10626;und;0;1841-07-09 00:00:00
node;imprimeur_lithographe;0;10628;10628;und;0;1864-09-05 00:00:00
node;imprimeur_lithographe;0;10634;10634;und;0;1869-12-08 00:00:00
node;imprimeur_lithographe;0;10635;10635;und;0;1861-04-05 00:00:00
node;imprimeur_lithographe;0;10637;10637;und;0;1851-02-06 00:00:00
node;imprimeur_lithographe;0;10641;10641;und;0;1850-02-12 00:00:00
node;imprimeur_lithographe;0;10642;10642;und;0;1854-09-05 00:00:00
node;imprimeur_lithographe;0;10645;10645;und;0;1854-06-02 00:00:00
node;imprimeur_lithographe;0;10651;10651;und;0;1861-03-04 00:00:00
node;imprimeur_lithographe;0;10656;10656;und;0;1851-12-02 00:00:00
node;imprimeur_lithographe;0;10666;10666;und;0;1858-06-09 00:00:00
node;imprimeur_lithographe;0;10668;10668;und;0;1869-04-11 00:00:00
node;imprimeur_lithographe;0;10673;10673;und;0;1863-07-12 00:00:00
node;imprimeur_lithographe;0;10675;10675;und;0;1862-04-10 00:00:00
node;imprimeur_lithographe;0;10677;10677;und;0;1856-06-05 00:00:00
node;imprimeur_lithographe;0;10684;10684;und;0;1853-06-08 00:00:00
node;imprimeur_lithographe;0;10687;10687;und;0;1856-10-07 00:00:00
node;imprimeur_lithographe;0;10699;10699;und;0;1863-09-04 00:00:00
node;imprimeur_lithographe;0;10703;10703;und;0;1860-06-07 00:00:00
node;imprimeur_lithographe;0;10705;10705;und;0;1867-04-04 00:00:00
node;imprimeur_lithographe;0;10711;10711;und;0;1872-06-12 00:00:00
node;imprimeur_lithographe;0;10717;10717;und;0;1852-03-05 00:00:00
node;imprimeur_lithographe;0;10720;10720;und;0;1859-06-02 00:00:00
node;imprimeur_lithographe;0;10729;10729;und;0;1861-07-12 00:00:00
node;imprimeur_lithographe;0;10733;10733;und;0;1862-04-11 00:00:00
